From Date,PM2.5,PM10,NO,NO2,SO2,CO,Ozone,RH,WS,WD,HOUR,MONTH
2020-12-08 09:00:00,90.16,164.92,27.58,42.72,38.77,0.73,7.0,33.4,0.24,226.94,9,12
2020-12-08 10:00:00,92.55,179.31,18.75,38.75,38.93,0.68,19.25,32.26,0.22,82.35,10,12
2020-12-08 11:00:00,72.86,185.5,13.54,35.0,33.12,0.61,38.25,31.89,0.16,49.02,11,12
2020-12-08 12:00:00,70.44,166.99,16.41,19.86,35.42,0.55,56.0,29.67,0.18,124.27,12,12
2020-12-08 13:00:00,58.97,160.17,9.31,17.02,34.98,0.38,56.0,28.29,0.21,170.2,13,12
2020-12-08 14:00:00,44.28,137.17,68.71,115.42,32.27,0.38,65.25,30.23,0.26,207.18,14,12
2020-12-08 15:00:00,68.87,137.63,3.6,19.9,32.81,0.55,63.75,35.73,0.12,180.86,15,12
2020-12-08 16:00:00,98.75,154.9,7.91,31.62,36.51,0.55,42.5,40.89,0.13,79.4,16,12
2020-12-08 17:00:00,98.35,161.81,12.74,42.97,33.88,0.66,18.75,44.34,0.14,101.5,17,12
2020-12-08 18:00:00,126.33,202.83,14.36,53.97,31.24,0.86,8.25,49.04,0.1,91.51,18,12
2020-12-08 19:00:00,113.54,249.03,10.78,54.23,32.15,0.88,6.67,55.87,0.09,160.64,19,12
2020-12-08 20:00:00,83.89,263.27,12.16,59.5,31.58,1.08,5.75,58.59,0.11,242.06,20,12
2020-12-08 21:00:00,75.06,236.93,25.28,60.7,28.79,1.4,5.25,60.34,0.1,242.32,21,12
2020-12-08 22:00:00,81.46,219.29,29.94,51.07,30.27,1.4,4.0,60.84,0.09,242.46,22,12
2020-12-08 23:00:00,115.74,197.09,52.54,48.9,29.14,1.83,4.0,63.58,0.09,242.45,23,12
2020-12-09 00:00:00,119.56,205.6,333.97,55.67,85.76,3.25,5.75,66.38,0.09,242.43,0,12
2020-12-09 01:00:00,108.41,226.74,276.45,55.55,89.0,2.25,7.0,66.99,0.09,242.4,1,12
2020-12-09 02:00:00,82.6,243.81,134.14,49.32,95.87,1.5,8.75,66.84,0.09,242.49,2,12
2020-12-09 03:00:00,77.35,239.03,68.88,43.64,102.92,1.0,8.5,65.06,0.09,242.4,3,12
2020-12-09 04:00:00,72.69,202.82,18.68,35.39,94.67,1.0,11.0,62.13,0.1,244.64,4,12
2020-12-09 05:00:00,67.86,172.03,9.37,23.73,96.8,0.25,25.75,60.12,0.09,245.5,5,12
