From Date,To Date,AT,RH
01-06-2019 00:00,01-06-2019 01:00,,
01-06-2019 01:00,01-06-2019 02:00,,
01-06-2019 02:00,01-06-2019 03:00,,
01-06-2019 03:00,01-06-2019 04:00,,
01-06-2019 04:00,01-06-2019 05:00,,
01-06-2019 05:00,01-06-2019 06:00,,
01-06-2019 06:00,01-06-2019 07:00,,
01-06-2019 07:00,01-06-2019 08:00,,
01-06-2019 08:00,01-06-2019 09:00,,
01-06-2019 09:00,01-06-2019 10:00,,
01-06-2019 10:00,01-06-2019 11:00,,
01-06-2019 11:00,01-06-2019 12:00,,
01-06-2019 12:00,01-06-2019 13:00,,
01-06-2019 13:00,01-06-2019 14:00,,
01-06-2019 14:00,01-06-2019 15:00,,
01-06-2019 15:00,01-06-2019 16:00,,
01-06-2019 16:00,01-06-2019 17:00,,
01-06-2019 17:00,01-06-2019 18:00,,
01-06-2019 18:00,01-06-2019 19:00,,
01-06-2019 19:00,01-06-2019 20:00,,
01-06-2019 20:00,01-06-2019 21:00,,
01-06-2019 21:00,01-06-2019 22:00,,
01-06-2019 22:00,01-06-2019 23:00,,
01-06-2019 23:00,02-06-2019 00:00,,
02-06-2019 00:00,02-06-2019 01:00,,
02-06-2019 01:00,02-06-2019 02:00,,
02-06-2019 02:00,02-06-2019 03:00,,
02-06-2019 03:00,02-06-2019 04:00,,
02-06-2019 04:00,02-06-2019 05:00,,
02-06-2019 05:00,02-06-2019 06:00,,
02-06-2019 06:00,02-06-2019 07:00,,
02-06-2019 07:00,02-06-2019 08:00,,
02-06-2019 08:00,02-06-2019 09:00,,
02-06-2019 09:00,02-06-2019 10:00,,
02-06-2019 10:00,02-06-2019 11:00,,
02-06-2019 11:00,02-06-2019 12:00,,
02-06-2019 12:00,02-06-2019 13:00,,
02-06-2019 13:00,02-06-2019 14:00,,
02-06-2019 14:00,02-06-2019 15:00,,
02-06-2019 15:00,02-06-2019 16:00,,
02-06-2019 16:00,02-06-2019 17:00,,
02-06-2019 17:00,02-06-2019 18:00,,
02-06-2019 18:00,02-06-2019 19:00,,
02-06-2019 19:00,02-06-2019 20:00,,
02-06-2019 20:00,02-06-2019 21:00,,
02-06-2019 21:00,02-06-2019 22:00,,
02-06-2019 22:00,02-06-2019 23:00,,
02-06-2019 23:00,03-06-2019 00:00,,
03-06-2019 00:00,03-06-2019 01:00,,
03-06-2019 01:00,03-06-2019 02:00,,
03-06-2019 02:00,03-06-2019 03:00,,
03-06-2019 03:00,03-06-2019 04:00,,
03-06-2019 04:00,03-06-2019 05:00,,
03-06-2019 05:00,03-06-2019 06:00,,
03-06-2019 06:00,03-06-2019 07:00,,
03-06-2019 07:00,03-06-2019 08:00,,
03-06-2019 08:00,03-06-2019 09:00,,
03-06-2019 09:00,03-06-2019 10:00,,
03-06-2019 10:00,03-06-2019 11:00,,
03-06-2019 11:00,03-06-2019 12:00,,
03-06-2019 12:00,03-06-2019 13:00,,
03-06-2019 13:00,03-06-2019 14:00,,
03-06-2019 14:00,03-06-2019 15:00,,
03-06-2019 15:00,03-06-2019 16:00,32.55,67.1
03-06-2019 16:00,03-06-2019 17:00,33.17,64.8
03-06-2019 17:00,03-06-2019 18:00,32.23,67.25
03-06-2019 18:00,03-06-2019 19:00,30.86,70.75
03-06-2019 19:00,03-06-2019 20:00,29.53,75.56
03-06-2019 20:00,03-06-2019 21:00,29.22,78.71
03-06-2019 21:00,03-06-2019 22:00,29.08,79.22
03-06-2019 22:00,03-06-2019 23:00,29.01,78.86
03-06-2019 23:00,04-06-2019 00:00,28.83,79.62
04-06-2019 00:00,04-06-2019 01:00,28.84,80.04
04-06-2019 01:00,04-06-2019 02:00,28.79,79.12
04-06-2019 02:00,04-06-2019 03:00,28.62,79.94
04-06-2019 03:00,04-06-2019 04:00,28.54,79.42
04-06-2019 04:00,04-06-2019 05:00,28.47,79.93
04-06-2019 05:00,04-06-2019 06:00,28.53,79.22
04-06-2019 06:00,04-06-2019 07:00,28.67,78.1
04-06-2019 07:00,04-06-2019 08:00,29.94,75.69
04-06-2019 08:00,04-06-2019 09:00,31.1,71.77
04-06-2019 09:00,04-06-2019 10:00,31.56,71.1
04-06-2019 10:00,04-06-2019 11:00,32.59,66.9
04-06-2019 11:00,04-06-2019 12:00,33.08,65.49
04-06-2019 12:00,04-06-2019 13:00,32.79,66.74
04-06-2019 13:00,04-06-2019 14:00,32.58,65.97
04-06-2019 14:00,04-06-2019 15:00,32.44,66.32
04-06-2019 15:00,04-06-2019 16:00,32.3,66.37
04-06-2019 16:00,04-06-2019 17:00,32.23,66.7
04-06-2019 17:00,04-06-2019 18:00,32.01,66.66
04-06-2019 18:00,04-06-2019 19:00,30.45,71.91
04-06-2019 19:00,04-06-2019 20:00,29.28,76.24
04-06-2019 20:00,04-06-2019 21:00,28.91,78.15
04-06-2019 21:00,04-06-2019 22:00,28.81,78.24
04-06-2019 22:00,04-06-2019 23:00,28.68,78.52
04-06-2019 23:00,05-06-2019 00:00,28.56,79.63
05-06-2019 00:00,05-06-2019 01:00,28.54,80.17
05-06-2019 01:00,05-06-2019 02:00,28.33,80.11
05-06-2019 02:00,05-06-2019 03:00,28.18,79.69
05-06-2019 03:00,05-06-2019 04:00,28.11,80.96
05-06-2019 04:00,05-06-2019 05:00,28.22,80.84
05-06-2019 05:00,05-06-2019 06:00,28.17,80.43
05-06-2019 06:00,05-06-2019 07:00,28.27,80.86
05-06-2019 07:00,05-06-2019 08:00,29.31,78.13
05-06-2019 08:00,05-06-2019 09:00,30.54,73.27
05-06-2019 09:00,05-06-2019 10:00,31.28,71.03
05-06-2019 10:00,05-06-2019 11:00,32.44,66.76
05-06-2019 11:00,05-06-2019 12:00,32.8,66.42
05-06-2019 12:00,05-06-2019 13:00,33.05,65.08
05-06-2019 13:00,05-06-2019 14:00,33.2,64.09
05-06-2019 14:00,05-06-2019 15:00,33.2,64.69
05-06-2019 15:00,05-06-2019 16:00,32.75,65.56
05-06-2019 16:00,05-06-2019 17:00,31.98,67.92
05-06-2019 17:00,05-06-2019 18:00,31.11,71.18
05-06-2019 18:00,05-06-2019 19:00,29.7,76.75
05-06-2019 19:00,05-06-2019 20:00,28.98,80.15
05-06-2019 20:00,05-06-2019 21:00,28.72,82.71
05-06-2019 21:00,05-06-2019 22:00,28.72,83.43
05-06-2019 22:00,05-06-2019 23:00,28.84,82.67
05-06-2019 23:00,06-06-2019 00:00,28.89,82.22
06-06-2019 00:00,06-06-2019 01:00,28.87,82.6
06-06-2019 01:00,06-06-2019 02:00,28.83,82.64
06-06-2019 02:00,06-06-2019 03:00,28.73,82.82
06-06-2019 03:00,06-06-2019 04:00,28.64,82.74
06-06-2019 04:00,06-06-2019 05:00,28.48,82.97
06-06-2019 05:00,06-06-2019 06:00,28.29,83.53
06-06-2019 06:00,06-06-2019 07:00,28.47,82.69
06-06-2019 07:00,06-06-2019 08:00,29.48,79.63
06-06-2019 08:00,06-06-2019 09:00,31.15,72.94
06-06-2019 09:00,06-06-2019 10:00,32.97,67.44
06-06-2019 10:00,06-06-2019 11:00,33.5,65.01
06-06-2019 11:00,06-06-2019 12:00,33.16,66.33
06-06-2019 12:00,06-06-2019 13:00,33.36,66.0
06-06-2019 13:00,06-06-2019 14:00,33.73,64.2
06-06-2019 14:00,06-06-2019 15:00,34.29,62.45
06-06-2019 15:00,06-06-2019 16:00,33.44,63.89
06-06-2019 16:00,06-06-2019 17:00,32.64,67.12
06-06-2019 17:00,06-06-2019 18:00,31.74,69.31
06-06-2019 18:00,06-06-2019 19:00,30.4,73.7
06-06-2019 19:00,06-06-2019 20:00,29.43,76.81
06-06-2019 20:00,06-06-2019 21:00,29.1,78.78
06-06-2019 21:00,06-06-2019 22:00,28.96,79.66
06-06-2019 22:00,06-06-2019 23:00,29.02,79.19
06-06-2019 23:00,07-06-2019 00:00,29.01,79.12
07-06-2019 00:00,07-06-2019 01:00,28.98,79.53
07-06-2019 01:00,07-06-2019 02:00,28.83,80.0
07-06-2019 02:00,07-06-2019 03:00,28.62,80.9
07-06-2019 03:00,07-06-2019 04:00,28.47,81.08
07-06-2019 04:00,07-06-2019 05:00,28.4,81.67
07-06-2019 05:00,07-06-2019 06:00,28.45,81.35
07-06-2019 06:00,07-06-2019 07:00,28.74,81.33
07-06-2019 07:00,07-06-2019 08:00,29.74,78.2
07-06-2019 08:00,07-06-2019 09:00,31.61,72.05
07-06-2019 09:00,07-06-2019 10:00,32.82,67.9
07-06-2019 10:00,07-06-2019 11:00,32.88,67.49
07-06-2019 11:00,07-06-2019 12:00,32.44,68.34
07-06-2019 12:00,07-06-2019 13:00,32.87,67.88
07-06-2019 13:00,07-06-2019 14:00,33.65,64.77
07-06-2019 14:00,07-06-2019 15:00,33.45,64.69
07-06-2019 15:00,07-06-2019 16:00,34.06,64.32
07-06-2019 16:00,07-06-2019 17:00,33.39,65.42
07-06-2019 17:00,07-06-2019 18:00,32.13,69.82
07-06-2019 18:00,07-06-2019 19:00,30.84,74.29
07-06-2019 19:00,07-06-2019 20:00,29.64,79.53
07-06-2019 20:00,07-06-2019 21:00,29.44,81.34
07-06-2019 21:00,07-06-2019 22:00,29.44,81.54
07-06-2019 22:00,07-06-2019 23:00,29.38,81.63
07-06-2019 23:00,08-06-2019 00:00,29.28,82.94
08-06-2019 00:00,08-06-2019 01:00,29.21,83.35
08-06-2019 01:00,08-06-2019 02:00,29.23,82.76
08-06-2019 02:00,08-06-2019 03:00,29.06,82.99
08-06-2019 03:00,08-06-2019 04:00,29.05,82.54
08-06-2019 04:00,08-06-2019 05:00,29.04,83.14
08-06-2019 05:00,08-06-2019 06:00,29.02,83.47
08-06-2019 06:00,08-06-2019 07:00,29.13,82.39
08-06-2019 07:00,08-06-2019 08:00,29.5,81.31
08-06-2019 08:00,08-06-2019 09:00,30.99,77.17
08-06-2019 09:00,08-06-2019 10:00,31.77,74.09
08-06-2019 10:00,08-06-2019 11:00,32.53,70.86
08-06-2019 11:00,08-06-2019 12:00,33.1,68.99
08-06-2019 12:00,08-06-2019 13:00,32.5,69.75
08-06-2019 13:00,08-06-2019 14:00,33.47,66.0
08-06-2019 14:00,08-06-2019 15:00,33.58,63.69
08-06-2019 15:00,08-06-2019 16:00,33.3,66.06
08-06-2019 16:00,08-06-2019 17:00,32.88,68.09
08-06-2019 17:00,08-06-2019 18:00,31.99,70.24
08-06-2019 18:00,08-06-2019 19:00,30.97,73.67
08-06-2019 19:00,08-06-2019 20:00,30.04,78.02
08-06-2019 20:00,08-06-2019 21:00,29.77,79.52
08-06-2019 21:00,08-06-2019 22:00,29.63,80.86
